# module agents/tasks/LJ-1-185/ProbeLJ1185B.agda
# in-fence lines 0
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions agents/tasks/LJ-1-185/ProbeLJ1185B.agda
# load before 3.67 / 3.58 / 3.55
# load after  3.46 / 3.54 / 3.53
# wall seconds 1.27
# exit 0
Checking LJ-1-185.ProbeLJ1185B (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-185/ProbeLJ1185B.agda).
Total                     1,201ms 
Miscellaneous                48ms 
LJ-1-185.ProbeLJ1185B.f9    184ms 
LJ-1-185.ProbeLJ1185B.f3    175ms 
LJ-1-185.ProbeLJ1185B.f0    167ms 
LJ-1-185.ProbeLJ1185B.f6    158ms 
LJ-1-185.ProbeLJ1185B.f7     85ms 
LJ-1-185.ProbeLJ1185B.f4     84ms 
LJ-1-185.ProbeLJ1185B.f1     81ms 
LJ-1-185.ProbeLJ1185B.f10    73ms 
LJ-1-185.ProbeLJ1185B.f11    39ms 
LJ-1-185.ProbeLJ1185B.f8     35ms 
LJ-1-185.ProbeLJ1185B.f2     34ms 
LJ-1-185.ProbeLJ1185B.f5     32ms 

----- stderr -----

