# module agents/tasks/LJ-1-185/ProbeLJ1185B.agda
# in-fence lines 0
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions agents/tasks/LJ-1-185/ProbeLJ1185B.agda
# load before 3.55 / 3.56 / 3.54
# load after  3.55 / 3.56 / 3.54
# wall seconds 1.32
# exit 0
Checking LJ-1-185.ProbeLJ1185B (/Users/alsg/Agentic/Bedrock/agents/tasks/LJ-1-185/ProbeLJ1185B.agda).
Total                     1,251ms 
Miscellaneous                52ms 
LJ-1-185.ProbeLJ1185B.f9    190ms 
LJ-1-185.ProbeLJ1185B.f3    185ms 
LJ-1-185.ProbeLJ1185B.f0    171ms 
LJ-1-185.ProbeLJ1185B.f6    165ms 
LJ-1-185.ProbeLJ1185B.f7     90ms 
LJ-1-185.ProbeLJ1185B.f4     88ms 
LJ-1-185.ProbeLJ1185B.f1     86ms 
LJ-1-185.ProbeLJ1185B.f10    74ms 
LJ-1-185.ProbeLJ1185B.f11    40ms 
LJ-1-185.ProbeLJ1185B.f2     36ms 
LJ-1-185.ProbeLJ1185B.f8     35ms 
LJ-1-185.ProbeLJ1185B.f5     33ms 

----- stderr -----

